product_id,product_name,category,price,cost
P001,Wireless Headphones Pro,Electronics,149.99,75.00
P002,Ergonomic Office Chair,Furniture,299.99,150.00
P003,Organic Coffee Beans 1kg,Food & Beverage,24.99,12.50
P004,Running Shoes Elite,Sports,129.99,65.00
P005,Smart Watch Series 5,Electronics,399.99,200.00
P006,Bamboo Desk Organizer,Office Supplies,34.99,15.00
P007,Yoga Mat Premium,Sports,49.99,20.00
P008,LED Desk Lamp,Electronics,59.99,25.00
P009,Stainless Steel Water Bottle,Kitchen,29.99,10.00
P010,Bluetooth Speaker Mini,Electronics,79.99,35.00
P011,Standing Desk Converter,Furniture,199.99,100.00
P012,Mechanical Keyboard RGB,Electronics,119.99,55.00
P013,Resistance Bands Set,Sports,19.99,8.00
P014,French Press Coffee Maker,Kitchen,39.99,18.00
P015,Noise Cancelling Earbuds,Electronics,179.99,90.00
